,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
0,1,Bitcoin,BTC,bitcoin,11018,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19691356.0,19691356.0,False,,1,,,,2024-04-28T14:31:00.000Z,63605.12378607991,17618731478.420822,-16.6931,-0.13646487,0.73634376,-2.15708498,-9.65672936,5.71093372,51.55533895,1252471135895.7673,52.7855,1335707599507.68,,2024-04-28T14:31:00.000Z,,,,,,2024-04-28 17:32:40.783623,
1,1027,Ethereum,ETH,ethereum,8875,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122053053.896095,122053053.896095,True,,2,,,,2024-04-28T14:30:00.000Z,3313.7071588913636,12828565397.439531,30.0251,0.2705827,5.01259414,5.03315108,-6.7122859,-0.73592943,47.50342043,404448078460.0434,17.0497,404448078460.04,,2024-04-28T14:30:00.000Z,,,,,,2024-04-28 17:32:40.783623,
2,825,Tether USDt,USDT,tether,84285,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,110562912301.67532,113086550461.62344,True,,3,,,,2024-04-28T14:30:00.000Z,0.9995494826545894,38042270172.404106,-5.8471,-0.0037281,-0.00788004,-0.06909736,-0.0566076,-0.08362118,-0.03975772,110513101791.92432,4.6587,113035603009.11,,2024-04-28T14:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-28 17:32:40.783623,
3,1839,BNB,BNB,bnb,2152,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147587986.37951833,147587986.37951833,False,,4,,,,2024-04-28T14:30:00.000Z,603.0437711790614,642817956.8336407,-17.697,-0.07083988,1.97621279,4.8903403,-2.56655373,46.40948427,97.29198695,89002015887.02869,3.7519,89002015887.03,,2024-04-28T14:30:00.000Z,,,,,,2024-04-28 17:32:40.783623,
4,5426,Solana,SOL,solana,655,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,447286605.6111721,574918419.0647167,True,,5,,,,2024-04-28T14:30:00.000Z,141.92872884558727,2186223750.7447667,-7.218,-0.3327105,2.2120018,-5.32885859,-24.4397412,27.52538601,47.23477816,63482819364.05118,2.6758,81597440407.77,,2024-04-28T14:30:00.000Z,,,,,,2024-04-28 17:32:40.783623,
5,3408,USDC,USDC,usd-coin,18741,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33505255085.821842,33505255085.821842,False,,6,,,,2024-04-28T14:30:00.000Z,0.9999482577977358,4259924669.4233675,-15.9148,-0.00599795,-0.00980985,-0.00655698,-0.0062072,0.00894731,-0.0230546,33503521450.136276,1.412,33503521450.14,,2024-04-28T14:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-28 17:32:40.783623,
6,52,XRP,XRP,xrp,1307,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55235913166.0,99987652657.0,False,,7,,,,2024-04-28T14:31:00.000Z,0.5187915924413271,568185524.9762679,-34.1366,-0.2009485,0.31007139,-1.41934759,-18.6678231,-11.28702557,-0.7696143,28655927351.340008,1.208,51879159244.13,,2024-04-28T14:31:00.000Z,,,,,,2024-04-28 17:32:40.783623,
7,74,Dogecoin,DOGE,dogecoin,958,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144071416383.70526,144071416383.70526,True,,8,,,,2024-04-28T14:31:00.000Z,0.14955770977420646,660889679.8100252,-24.5526,-0.3408443,2.22799087,-6.42061657,-31.36176432,52.08444685,84.54220239,21546991078.273045,0.9083,21546991078.27,,2024-04-28T14:31:00.000Z,,,,,,2024-04-28 17:32:40.783623,
8,11419,Toncoin,TON,toncoin,301,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3472439892.562713,5105850350.610287,True,,9,3414166606.0,18759848583.027695,,2024-04-28T14:30:00.000Z,5.494708005772022,146447905.1694575,-9.5503,0.09778964,4.11752143,-10.6681413,7.90171846,113.41425473,159.29804097,19080043277.22648,0.8043,28055156797.77,,2024-04-28T14:30:00.000Z,,,,,,2024-04-28 17:32:40.783623,
9,2010,Cardano,ADA,cardano,1156,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35639697418.897,36827102020.956,False,,10,,,,2024-04-28T14:30:00.000Z,0.4691765939493344,254783529.71122584,-20.2723,-0.42974102,1.96026815,-5.91831587,-29.3514229,-25.92848147,-3.58135885,16721311844.38298,0.7049,21112946727.72,,2024-04-28T14:30:00.000Z,,,,,,2024-04-28 17:32:40.783623,
